"hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests"
"City Hotel,0,4,2017,April,15,11,0,3,2,0.0,0,SC,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,122.67,0,1"
"City Hotel,0,32,2017,March,10,5,2,2,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,74.8,0,0"
"Resort Hotel,0,0,2016,March,10,2,0,1,2,0.0,0,BB,,Direct,Direct,0,0,0,A,D,0,No Deposit,,,0,Transient,40.0,0,0"
"Resort Hotel,0,214,2017,March,12,24,2,5,2,0.0,0,HB,GBR,Groups,TA/TO,0,0,0,D,D,1,No Deposit,273.0,,0,Transient-Party,61.2,0,0"
"Resort Hotel,1,24,2017,August,31,4,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,15.0,,0,Transient,193.33,0,1"
"City Hotel,0,42,2016,November,45,4,0,2,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,27.0,,0,Transient,72.0,0,0"
"City Hotel,1,144,2016,May,19,6,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,8.0,,0,Transient,114.3,0,1"
"City Hotel,1,49,2016,November,48,21,1,2,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,79.2,0,1"
"Resort Hotel,0,98,2015,July,28,6,1,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient,117.8,1,1"
"City Hotel,0,0,2015,September,39,25,0,1,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,180.0,0,0"
"Resort Hotel,1,270,2015,November,47,16,1,3,2,0.0,0,HB,PRT,Online TA,TA/TO,0,1,0,A,E,1,No Deposit,240.0,,0,Transient-Party,59.4,0,1"
"City Hotel,1,566,2017,January,4,26,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0"
"City Hotel,0,61,2017,January,1,1,2,4,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,101.43,0,1"
"City Hotel,0,37,2016,May,20,8,1,0,1,0.0,0,BB,PRT,Corporate,Corporate,1,1,4,A,A,0,No Deposit,,40.0,0,Transient-Party,65.0,0,0"
"City Hotel,1,60,2016,April,15,9,2,3,3,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,B,0,No Deposit,83.0,,0,Transient,41.76,0,1"
"City Hotel,0,243,2016,June,25,14,0,3,2,0.0,0,BB,NLD,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,,0,Transient,106.2,0,0"
"City Hotel,1,112,2017,March,10,9,0,3,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,93.6,0,1"
"City Hotel,0,0,2016,November,49,29,0,1,1,0.0,0,BB,ESP,Corporate,Corporate,0,0,0,A,D,0,No Deposit,,62.0,0,Transient,79.0,0,0"
"City Hotel,1,114,2017,April,15,12,1,4,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,141.3,0,2"
"Resort Hotel,1,0,2015,August,32,5,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,F,0,No Deposit,,,0,Transient,172.0,0,1"
"City Hotel,0,237,2015,September,38,14,1,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,89.25,0,0"
"City Hotel,1,143,2017,May,18,2,0,4,2,0.0,0,BB,CN,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,108.0,0,1"
"City Hotel,1,34,2016,March,13,22,0,3,2,1.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,115.2,0,0"
"City Hotel,1,188,2016,June,25,15,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,119.0,,39,Transient,130.0,0,0"
"City Hotel,1,69,2016,November,45,4,0,1,2,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,79.2,0,2"
"City Hotel,0,88,2016,June,23,2,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.9,0,1"
"Resort Hotel,1,183,2016,December,49,3,2,1,2,0.0,0,FB,PRT,Groups,TA/TO,0,0,0,A,C,1,Non Refund,38.0,,0,Transient,72.0,0,0"
"City Hotel,0,100,2016,September,40,28,0,4,2,0.0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,26.0,,0,Transient-Party,140.0,0,1"
"City Hotel,1,64,2017,July,30,23,2,1,2,0.0,0,BB,ARG,Direct,Direct,0,0,0,E,E,0,No Deposit,14.0,,0,Transient,174.33,0,1"
"Resort Hotel,0,76,2017,January,1,2,1,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242.0,,0,Transient,37.8,0,3"
"City Hotel,1,17,2016,December,53,30,2,2,2,0.0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,102.0,0,0"
"City Hotel,1,193,2015,October,42,15,0,3,2,0.0,0,BB,,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,12.0,,0,Transient,65.0,0,0"
"City Hotel,0,24,2016,August,36,31,0,3,2,0.0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,110.0,0,0"
"Resort Hotel,0,169,2016,March,14,31,1,3,2,0.0,0,BB,NLD,Groups,Direct,0,0,0,A,A,0,Refundable,,223.0,0,Transient-Party,67.5,0,0"
"City Hotel,0,11,2017,July,31,30,2,2,2,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,125.02,0,1"
"City Hotel,0,8,2015,September,36,1,0,3,3,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,E,0,No Deposit,13.0,,0,Contract,113.0,0,2"
"City Hotel,0,110,2016,December,51,11,2,2,2,0.0,0,BB,GBR,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,79.2,0,0"
"City Hotel,0,85,2015,July,31,30,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,76.5,0,1"
"City Hotel,0,41,2015,December,53,30,0,3,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,D,D,0,No Deposit,,,0,Transient,128.0,1,0"
"City Hotel,1,65,2017,March,13,27,1,3,3,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,9.0,,0,Transient,125.8,0,2"
"City Hotel,0,263,2015,September,39,21,1,0,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,21.0,,0,Transient-Party,67.0,0,0"
"City Hotel,0,53,2016,June,26,24,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,B,0,No Deposit,1.0,,0,Transient-Party,65.0,0,1"
"City Hotel,0,67,2017,June,25,20,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,170.0,0,2"
"City Hotel,0,0,2016,May,19,4,0,1,1,0.0,0,BB,PRT,Complementary,Corporate,1,0,23,D,F,0,No Deposit,,45.0,0,Transient,0.0,0,2"
"Resort Hotel,0,48,2015,September,40,30,2,5,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,171.0,,0,Transient,52.73,0,0"
"City Hotel,1,88,2017,August,32,12,2,5,3,0.0,0,BB,ROU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,195.0,0,1"
"Resort Hotel,0,60,2017,April,17,29,2,2,2,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,F,1,No Deposit,240.0,,0,Transient-Party,142.0,0,1"
"City Hotel,1,437,2016,May,19,2,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,60.0,0,0"
"City Hotel,0,2,2016,March,14,30,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,14.0,,0,Transient,99.0,0,0"
"City Hotel,0,29,2016,April,15,5,0,3,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,,40.0,0,Transient-Party,67.0,1,0"
"City Hotel,0,2,2016,April,15,3,2,0,2,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,101.0,0,1"
"City Hotel,1,86,2015,September,37,9,0,2,2,0.0,0,BB,FRA,Groups,Corporate,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,110.0,0,0"
"City Hotel,0,47,2016,April,16,12,0,4,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,114.33,0,1"
"Resort Hotel,1,7,2016,May,22,27,0,1,1,0.0,0,HB,PRT,Groups,Corporate,0,0,0,A,A,0,Non Refund,,20.0,0,Transient,58.0,0,0"
"City Hotel,0,55,2016,December,51,13,0,4,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,74.8,0,2"
"City Hotel,0,4,2016,June,24,6,1,3,2,0.0,0,BB,DEU,Offline TA/TO,Corporate,0,0,0,A,A,1,No Deposit,191.0,,0,Transient-Party,120.0,0,1"
"City Hotel,1,24,2016,February,6,3,0,3,2,0.0,0,BB,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,96.0,0,0"
"Resort Hotel,0,6,2017,January,5,30,1,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,5,A,A,0,No Deposit,314.0,,0,Group,34.4,0,0"
"City Hotel,0,65,2016,December,52,21,0,4,3,0.0,0,HB,FRA,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,22.0,,0,Transient,122.65,0,0"
"City Hotel,1,124,2017,April,14,8,1,1,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.0,0,1"
"Resort Hotel,0,303,2016,July,28,9,4,10,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,85.05,0,2"
"City Hotel,0,44,2017,February,8,19,2,3,2,0.0,0,BB,FIN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,61.93,0,1"
"City Hotel,0,116,2017,May,19,9,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,117.0,0,1"
"City Hotel,1,42,2016,April,18,25,1,3,2,2.0,0,BB,FRA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,175.28,0,0"
"Resort Hotel,0,124,2017,August,33,16,2,7,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,262.0,0,3"
"City Hotel,0,0,2016,February,7,8,1,1,2,0.0,0,SC,ITA,Direct,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,84.0,0,0"
"Resort Hotel,0,80,2017,February,5,4,1,1,2,0.0,0,BB,CHN,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,242.0,,0,Transient-Party,63.65,0,1"
"Resort Hotel,0,180,2016,July,28,9,4,6,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,124.22,0,1"
"City Hotel,0,7,2015,August,36,31,1,2,1,0.0,0,HB,ISR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,60.0,0,0"
"City Hotel,0,45,2016,November,48,25,1,2,2,0.0,0,BB,BRA,Groups,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,90.0,0,0"
"City Hotel,0,3,2017,January,2,13,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,108.0,0,2"
"City Hotel,1,297,2017,July,28,9,2,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,71,Transient,110.0,0,0"
"Resort Hotel,0,23,2017,February,6,8,0,0,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,0.0,0,1"
"Resort Hotel,0,275,2016,April,16,10,2,5,2,0.0,0,HB,GBR,Groups,Direct,0,0,0,D,D,4,No Deposit,273.0,,0,Transient-Party,72.45,0,0"
"City Hotel,1,49,2017,January,4,27,1,2,3,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,83.0,,0,Transient,164.8,0,0"
"City Hotel,1,39,2015,August,33,14,0,2,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,101.5,0,0"
"City Hotel,0,5,2015,October,41,5,1,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Contract,145.0,0,1"
"City Hotel,0,292,2016,July,30,21,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,115.0,0,0"
"Resort Hotel,0,7,2015,October,43,19,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,8.0,,0,Transient-Party,37.0,0,0"
"City Hotel,0,91,2016,April,14,2,2,2,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,11.0,,0,Transient,59.37,0,0"
"City Hotel,1,55,2015,September,37,6,2,0,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,75.0,0,0"
"Resort Hotel,0,34,2015,July,31,26,2,0,2,0.0,0,BB,RUS,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,,0,Transient,103.18,0,0"
"City Hotel,0,1,2016,October,44,28,0,2,2,0.0,0,SC,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,149.0,0,1"
"Resort Hotel,0,108,2015,September,37,10,2,3,2,0.0,0,BB,RUS,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240.0,,0,Transient,82.44,0,1"
"City Hotel,0,192,2016,June,26,24,0,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,34.0,,0,Transient-Party,95.0,0,0"
"City Hotel,0,13,2015,October,43,22,2,5,2,0.0,0,HB,NLD,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,83.0,,0,Group,131.97,0,0"
"City Hotel,0,0,2016,March,12,15,0,0,2,0.0,0,BB,PRT,Complementary,Direct,1,0,0,A,A,0,No Deposit,,,0,Transient,0.0,0,0"
"Resort Hotel,1,71,2017,April,15,14,0,1,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,117.0,0,2"
"City Hotel,0,298,2016,May,20,10,0,2,1,0.0,0,BB,NZL,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,12.0,,207,Transient-Party,76.0,0,0"
"City Hotel,0,111,2017,August,32,7,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,164.0,0,3"
"City Hotel,1,105,2017,May,19,13,1,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,135.0,0,0"
"City Hotel,1,21,2016,June,24,10,2,4,2,2.0,0,BB,BRA,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,206.0,0,0"
"Resort Hotel,0,32,2016,February,7,13,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,F,F,1,No Deposit,,,0,Transient,70.2,0,0"
"City Hotel,0,13,2016,June,23,1,0,2,1,0.0,0,BB,PRT,Complementary,Corporate,1,3,5,A,A,0,No Deposit,,72.0,0,Transient,0.0,0,1"
"City Hotel,0,55,2016,September,37,10,1,1,3,0.0,0,BB,BEL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,168.3,0,1"
"City Hotel,1,57,2016,June,27,26,2,4,2,0.0,0,BB,CHE,Direct,Direct,0,0,0,D,D,2,No Deposit,14.0,,0,Transient,139.8,0,1"
"City Hotel,0,3,2015,November,46,9,1,2,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient,80.0,0,0"
"City Hotel,0,159,2017,August,34,24,0,3,3,0.0,0,BB,DNK,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,9.0,,0,Transient,202.5,0,1"
"Resort Hotel,1,93,2015,December,51,19,0,1,2,0.0,0,FB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,,,0,Transient,80.0,0,0"
"City Hotel,0,53,2017,June,23,5,1,3,2,0.0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,170.0,0,1"
"City Hotel,1,88,2015,September,39,26,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,170.0,0,0"
"City Hotel,0,8,2016,October,44,29,2,1,1,1.0,0,SC,AUT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7.0,,0,Transient,92.66,0,1"
"Resort Hotel,0,44,2015,August,35,29,2,6,3,1.0,0,HB,PRT,Direct,Direct,0,0,0,G,G,0,No Deposit,,,0,Transient,219.25,0,0"
"City Hotel,0,9,2016,December,53,28,0,3,2,0.0,0,SC,IRL,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,109.33,0,1"
"City Hotel,0,0,2017,August,31,2,0,1,3,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,,,0,Transient,169.0,0,0"
"Resort Hotel,0,9,2017,May,21,22,1,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,94.5,1,2"
"City Hotel,1,203,2016,July,30,19,0,5,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,90.95,0,1"
"Resort Hotel,0,144,2017,August,33,16,2,5,2,0.0,0,Undefined,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40.0,,0,Contract,158.85,0,0"
"Resort Hotel,1,43,2015,July,27,2,1,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241.0,,0,Transient,108.8,0,0"
"City Hotel,1,13,2016,December,49,3,2,4,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,89.39,0,0"
"City Hotel,1,110,2017,May,19,11,2,4,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,147.0,0,0"
"City Hotel,0,35,2017,May,21,25,0,3,3,2.0,0,BB,CHE,Direct,Direct,0,0,0,G,G,1,No Deposit,14.0,,0,Transient,335.0,0,0"
"Resort Hotel,0,0,2016,March,10,2,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,,,0,Transient,45.0,0,0"
"City Hotel,0,277,2017,August,32,9,0,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,92.86,0,1"
"City Hotel,0,129,2016,August,34,16,0,5,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,124.2,0,2"
"Resort Hotel,0,0,2016,March,10,2,0,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient,29.0,0,0"
"City Hotel,1,57,2016,May,23,31,0,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,120.0,0,0"
"Resort Hotel,0,12,2016,October,41,2,1,0,2,0.0,0,BB,USA,Direct,Direct,0,0,0,G,G,0,No Deposit,250.0,,0,Transient,198.0,1,0"
"City Hotel,1,30,2016,September,39,24,2,2,2,2.0,0,BB,POL,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9.0,,0,Transient,195.53,0,0"
"Resort Hotel,0,5,2016,April,15,5,0,2,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,1,A,D,0,No Deposit,,94.0,0,Transient,39.0,0,0"
"City Hotel,1,286,2016,May,21,17,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,75,Transient,65.0,0,0"
"Resort Hotel,0,2,2016,January,2,4,1,4,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,E,F,1,No Deposit,240.0,,0,Transient,56.4,1,1"
"City Hotel,0,256,2015,September,38,14,1,2,2,0.0,0,BB,SWE,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,4.0,,0,Transient-Party,76.67,0,0"
"Resort Hotel,1,302,2017,May,19,9,0,4,2,0.0,0,HB,PRT,Groups,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,81.0,0,0"
"City Hotel,0,277,2016,September,37,5,2,5,2,0.0,0,HB,NOR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,21.0,,0,Transient-Party,89.14,0,1"
"City Hotel,1,26,2017,May,21,22,1,1,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,0,Transient,128.0,0,0"
"City Hotel,1,28,2017,March,9,2,0,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,95.0,0,0"
"City Hotel,0,14,2016,March,11,10,1,3,3,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,27.0,,0,Transient,69.75,0,0"
"Resort Hotel,1,248,2016,June,25,14,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,72.0,0,0"
"City Hotel,1,330,2016,June,23,2,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0"
"Resort Hotel,1,48,2015,July,31,27,1,1,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240.0,,0,Transient,167.0,0,1"
"City Hotel,1,146,2016,March,14,30,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,86.0,,28,Transient,80.0,0,0"
"Resort Hotel,0,49,2016,November,47,14,1,4,2,0.0,0,BB,BEL,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,6.0,,0,Transient,29.0,0,1"
